Month,No of Visitors
1/1/1991,177400
2/1/1991,190600
3/1/1991,189200
4/1/1991,168000
5/1/1991,161400
6/1/1991,172200
7/1/1991,208300
8/1/1991,199300
9/1/1991,197400
10/1/1991,216000
11/1/1991,223900
12/1/1991,266800
1/1/1992,196100
2/1/1992,238200
3/1/1992,217800
4/1/1992,203800
5/1/1992,175200
6/1/1992,176900
7/1/1992,219300
8/1/1992,199100
9/1/1992,190000
10/1/1992,229300
11/1/1992,255000
12/1/1992,302400
1/1/1993,242800
2/1/1993,245500
3/1/1993,257900
4/1/1993,226300
5/1/1993,213400
6/1/1993,204600
7/1/1993,244600
8/1/1993,239900
9/1/1993,224000
10/1/1993,267200
11/1/1993,285900
12/1/1993,344000
1/1/1994,250500
2/1/1994,304300
3/1/1994,307400
4/1/1994,255100
5/1/1994,214900
6/1/1994,230900
7/1/1994,282500
8/1/1994,265400
9/1/1994,254000
10/1/1994,301600
11/1/1994,311000
12/1/1994,384000
1/1/1995,303800
2/1/1995,319100
3/1/1995,313500
4/1/1995,294200
5/1/1995,244800
6/1/1995,261400
7/1/1995,329700
8/1/1995,304900
9/1/1995,268600
10/1/1995,320700
11/1/1995,342900
12/1/1995,422300
1/1/1996,317200
2/1/1996,392700
3/1/1996,365600
4/1/1996,333200
5/1/1996,261500
6/1/1996,306900
7/1/1996,358200
8/1/1996,329200
9/1/1996,309200
10/1/1996,350400
11/1/1996,375600
12/1/1996,465200
1/1/1997,342900
2/1/1997,408000
3/1/1997,390900
4/1/1997,325900
5/1/1997,289100
6/1/1997,308200
7/1/1997,397400
8/1/1997,330400
9/1/1997,330900
10/1/1997,366500
11/1/1997,379500
12/1/1997,448300
1/1/1998,346200
2/1/1998,353600
3/1/1998,338600
4/1/1998,341100
5/1/1998,283400
6/1/1998,304200
7/1/1998,372300
8/1/1998,323700
9/1/1998,323900
10/1/1998,354800
11/1/1998,367900
12/1/1998,457600
1/1/1999,351000
2/1/1999,398600
3/1/1999,389000
4/1/1999,334100
5/1/1999,298100
6/1/1999,317100
7/1/1999,388500
8/1/1999,355600
9/1/1999,353100
10/1/1999,397000
11/1/1999,416700
12/1/1999,460800
1/1/2000,360800
2/1/2000,434600
3/1/2000,411900
4/1/2000,405600
5/1/2000,319300
6/1/2000,347900
7/1/2000,429000
8/1/2000,372900
9/1/2000,403000
10/1/2000,426500
11/1/2000,459900
12/1/2000,559900
1/1/2001,416600
2/1/2001,429200
3/1/2001,428700
4/1/2001,405400
5/1/2001,330200
6/1/2001,370000
7/1/2001,446900
8/1/2001,384600
9/1/2001,366300
10/1/2001,378500
11/1/2001,376200
12/1/2001,523200
1/1/2002,379300
2/1/2002,437200
3/1/2002,446500
4/1/2002,360300
5/1/2002,329900
6/1/2002,339400
7/1/2002,418200
8/1/2002,371900
9/1/2002,358600
10/1/2002,428900
11/1/2002,437000
12/1/2002,534000
1/1/2003,396600
2/1/2003,427500
3/1/2003,392500
4/1/2003,321500
5/1/2003,260900
6/1/2003,308300
7/1/2003,415500
8/1/2003,362200
9/1/2003,385600
10/1/2003,435300
11/1/2003,473300
12/1/2003,566600
1/1/2004,420200
2/1/2004,454800
3/1/2004,432300
4/1/2004,402800
5/1/2004,341300
6/1/2004,367300
7/1/2004,467600
8/1/2004,403100
9/1/2004,393500
10/1/2004,447400
11/1/2004,478000
12/1/2004,591400
1/1/2005,456900
2/1/2005,498800
3/1/2005,502100
4/1/2005,406600
5/1/2005,351300
6/1/2005,377000
7/1/2005,497000
8/1/2005,429300
9/1/2005,412100
10/1/2005,461900
11/1/2005,470700
12/1/2005,599300
1/1/2006,461400
2/1/2006,485000
3/1/2006,473400
4/1/2006,435000
5/1/2006,342900
6/1/2006,379700
7/1/2006,478200
8/1/2006,410200
9/1/2006,423500
10/1/2006,472900
11/1/2006,490000
12/1/2006,640900
1/1/2007,451000
2/1/2007,510200
3/1/2007,520000
4/1/2007,434900
5/1/2007,364700
6/1/2007,398000
7/1/2007,479600
8/1/2007,432500
9/1/2007,431500
10/1/2007,460900
11/1/2007,494400
12/1/2007,611100
1/1/2008,436300
2/1/2008,535700
3/1/2008,507700
4/1/2008,419100
5/1/2008,376200
6/1/2008,377300
7/1/2008,523800
8/1/2008,413800
9/1/2008,397200
10/1/2008,450200
11/1/2008,468400
12/1/2008,606700
1/1/2009,446100
2/1/2009,495500
3/1/2009,481900
4/1/2009,448700
5/1/2009,368800
6/1/2009,357600
7/1/2009,452500
8/1/2009,408300
9/1/2009,432300
10/1/2009,477700
11/1/2009,478500
12/1/2009,642300
1/1/2010,441100
2/1/2010,549000
3/1/2010,520900
4/1/2010,422600
5/1/2010,370300
6/1/2010,398700
7/1/2010,505300
8/1/2010,446100
9/1/2010,468800
10/1/2010,486200
11/1/2010,510500
12/1/2010,670600
1/1/2011,464700
2/1/2011,547600
3/1/2011,492900
4/1/2011,454600
5/1/2011,378200
6/1/2011,382900
7/1/2011,495800
8/1/2011,460800
9/1/2011,424700
10/1/2011,489400
11/1/2011,512400
12/1/2011,666800
1/1/2012,486600
2/1/2012,544400
3/1/2012,535500
4/1/2012,456600
5/1/2012,386900
6/1/2012,412100
7/1/2012,489900
8/1/2012,488700
9/1/2012,465300
10/1/2012,504800
11/1/2012,548300
12/1/2012,713100
1/1/2013,474700
2/1/2013,596000
3/1/2013,580600
4/1/2013,451800
5/1/2013,406100
6/1/2013,442500
7/1/2013,523600
8/1/2013,523500
9/1/2013,488300
10/1/2013,534700
11/1/2013,575300
12/1/2013,785200
1/1/2014,551800
2/1/2014,631200
3/1/2014,595800
4/1/2014,526400
5/1/2014,470100
6/1/2014,455000
7/1/2014,586800
8/1/2014,538800
9/1/2014,517500
10/1/2014,588100
11/1/2014,610400
12/1/2014,812200
1/1/2015,549900
2/1/2015,723700
3/1/2015,676300
4/1/2015,552400
5/1/2015,486700
6/1/2015,489000
7/1/2015,627500
8/1/2015,574100
9/1/2015,571900
10/1/2015,625200
11/1/2015,669000
12/1/2015,898700
1/1/2016,620500
2/1/2016,796800
3/1/2016,754600
4/1/2016,610800
5/1/2016,542000
6/1/2016,555800
7/1/2016,716000
8/1/2016,632600
9/1/2016,647200
10/1/2016,694300
11/1/2016,720500
12/1/2016,971800
